"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Widget,Widget,5,Mini Dachshund
Dog,Stella Bo Bella,Stella,6.5,Mutt
Cat,Meryl Streep,Merrill,8,Unknown
Dog,Tilly,Tills,13,Chocolate Labrador
Cat,Pumpkin,Pumpkin,12,Unknown
Dog,Peter Peter Pumpkin Eater,Petey,5,Pit Bull
Cat,Jacques,Jacques,12,Unknown
Dog,Remy,Rem,1,Unknown
Dog,Oreo,Oreo,7,Some Kind Of Mix
Dog,Ljus  (Swedish word for light),Ljus,0.269230769,Golden Retriever
Dog,Bambi,Bambs,3,Unknown
Cat,Marie Curie,Marie,3,Unknown
Cat,Clarence,Clarence,12,Russian Blue
Dog,Layla ‘The Tank’,Layla,3,Pit Bull
Cat,Amber,Ambs,10,Tortoiseshell Cat
Dog,Benny and the Jets,Ben,1,Mastiff/great Dane
Dog,Milo,Milo,7,Bichon Frise
Dog,Mocha,Mocha,3,Pitbull/terrier Mix
Dog,Shadow,Shadow,15½,Golden Retriever
Cat,Little Bit,Skittles,10,Tabby
Dog,Luna,Luna,1,Great Pyrenees
Cat,Garrison,Garrison,9,Russian Blue
Dog,Cody,"Baby, Pookie",13,Black Lab/cocker Spaniel Mix
Hamster,Hammy,Ham,1,Russian Dwarf Hamster
Cat,Zoey,Zoey,13,Cat
Dog,Oatmeal,Oatmeal,0.583333333,Golden Retriever
Dog,Ginger,Nugget,10,Chihuahua
Cat,Lucy,Lucy,4,Russian Blue
Dog,Starbuck Louise,Starbuck,4,Goldendoodle
Dog,Mocha Antoinette,Mocha,7,Mutt
Dog,Oscar,Oscar,10,Shepherd Retriever Mix
Cat,Serena,Mouse Pie,17,Domestic Longhair
Cat,Maxine Waters,Maxine,4,Unknown
Dog,Magnolia Mae,Noli,2.5,Great Pyrenees/lab
Dog,George Cooper,Georgie,2,Golden Retriever
Dog,Cayenne,Cayenne,8,German Shepherd
Cat,Pip,Pip,11,Tuxedo
Dog,Olive Oil,Olive,2,Australian Shepherd
Rabbit,Iggy and Ziggy,Igs and Zigs,3,Lop And Angora
Dog,Brook,Brookie,7,Golden Retriever
Dog,Sparkie,"Spark, Sparkie, sparkle",4,Mutt
Dog,Max,Maxie,16,Carin Terrier/ Kerry Blue Terrier/ Keeshond
Dog,Howard,Howie,10,American Staffordshire Terrier Mix
Cat,Samantha Bee,Sam,3,Tuxedo
Dog,Ella Fitzgerald,Ella,12,Heinz 57
Cat,Chanel,Teeny,6.5,Unknown
Fish,Commander Ambrose,The Commander,0.833333333,Betta Fish
Dog,Josephine Bakes,Josie,5,Pit Bull/lab Mix
Dog,Lennie,Lennie,2,Treeing Tennessee Brindle
Cat,Obsidian Jazz Paws,OJP,1,Feral
Cat,Scotty,Scotty,8,Domestic Shorthair
Cat,Macallan,Mac,8,Unknown
Dog,Cody James,Buddy,1.5,Golden Retriever
Dog,Jake,Jake,2,Golden Retriever/husky/shepherd/jack Russell
Cat,Katie,Boo,9,Tuxedo Moggy
Other,damn,it,2,Skylake
Dog,Gail,Gail,3,Treeing Tennessee Brindle
Hamster,Bella,Bella,2,Russian Dwarf Hamster
Cat,June Bug,June Bug,5,Unknown
Dog,Lucky,"Luck, Luckboy, Luck duck",3,"Jack A Bee (half Jack Russell, Half Beagle)"
Dog,Darcy,Darcy,3,Working Cocker Spaniel
Cat,Neko,"Neko, Cat, Kitten",6,Domestic Shorthair
Cat,Maisy,Maisy,7,Unknown
Dog,Luke Anakin,Luke,9,Golden Retriever
Dog,Sadie,Sadie Pot Pie,10,Mixed
Dog,Hazel Nut,Hazel,3,Australian Shepherd
Cat,Mongoose,Goosey,1.916666667,Unknown
Cat,Flerf,Bab,16,Tortie
Dog,Bourbon,Bourbon,3,Mixed
Dog,Riley,Smiley Riley,13,Golden Retriever
Cat,Murphy,Murph,13,Domestic Shorthair
Dog,Mr. Nubs,Mr. Nubs,16,Corgi
Cat,Mackerel,Mack,1.916666667,Unknown
Cat,Regis,"Regis (or ""little asshole"")",0.833333333,Unknown
Cat,Laetynne Marah,Lae lae,7,Siamese
Cat,Callie,Callie,15,Calico/domestic Shorthair
Dog,Bentley,Bentley boy,3,Australian Labradoodle
Cat,Crumb Bun,Bobo,9,Tuxedo Garbage Cat
Dog,Fenway,Fenway,6,Boston Terrier
Dog,Benelli,Name,3,Black Lab
Turtle,Lenny,Lenny,12,Unknown
Dog,Washington the Destroyer,Wash,6.5,Chocolate Lab
Cat,Otto,Otto,16,Unknown
Dog,Philomenos,"Philo, Phil, phi phi",9,Portuguese Water Dog
Dog,Stampy Wiggles,Stampy,10,Goldendoodle
Dog,Jasmine,Jaz,5,Golden Retriever
Dog,Emma,Puppy,1,Chocolate Lab
Dog,Winston,Wintin,4,Wire-haired Mutt
Dog,Torchenay Be Cool,Max,13,Beagle
Cat,Petunia Marie,Tooney,7,Domestic Shorthair-tabby
Dog,Brutus,Brutus,7,Yellow Labrador Retriever
Cat,Louis,LouLou,4.5,Black Cat
Cat,Lilah May,Lilah,12,Domestic Shorthair-black
Dog,Lucu,Puppy,7,Black Lab/ Blue Heeler
Dog,Mosephine,Mo,1,Standard Poodle
Dog,Abegeweit,Abi (Abby),16,Fox Terrier Mix
Dog,Kramer,Kray Kray,12,Golden Retriever
Bird,Coco Moe,Coco,15,Cockatiel
Cat,Apollo,Beeper,1,Unknown
Dog,Rusty,Wusty,5,Golden Lab
Dog,Demi,"Dems, demi dog, the queen",6,"Mixed (dachshund, Basenji, Australian Cattle Dog, Rescue)"
Dog,Alfredog,Alfie,11,Mutt - Mostly Jack Russell
Rabbit,Professor Nibblesworth Bunnypants,Nibbles,6,Netherland Dwarf
Dog,Shorty Do-Op,Shorty,15,Mutt
Dog,Penny,Penny,3,Australian Shepherd
Dog,Tuxedo,Tux,1.5,Schnauzer
Dog,Sally,Sally,7,Golden Retriever
Dog,Lola,Lola,6,Mixed Breed
Cat,Noodle,Noodle,4,Domestic Medium Hair
Dog,Gustav,Goober,10,German Shepherd Mix
Hamster,Charlie,Charlie,1.5,Syrian
Dog,Poppy Sue Galushka Clementine,Poppy,4,Treeing Walker Coonhound
Dog,Duke,Duke,3,Australian Shepherd
Dog,Millie,Mills,7,Jack Russell Terrier
Dog,Sir Winston of Weston,"Winston , Winnie",10,Golden Retriever
Cat,Bucky,Bucks,2,Norwegian Forest Cat
Dog,Angus OgDog Dogga McDuff,Angus,Deceased,West Highland White Terrier
Cat,Spot,Spotty Bear,4,Domestic Shorthair
Cat,Cookie,Cooks,2,Ragdoll
Dog,Lady,Doofus,6,Chocolate Lab Mix
Dog,Maggie Peaches,Maggie,13,Bichon Poodle
Cat,Amelia,Amelita,2,Unknown
Dog,Camembert,Cami,5,Bernese Mountain Dog
Dog,Shadow,Shadow,3,Saluki
Dog,Archer,archer,3,Golden Retriever
Dog,Robbie,robz,1.5,Whippet
Cat,Noah,Noah,2,Unknown
Other,Penny,Pen,4,Unknown
Cat,Lovey Cat,Lovey,18,Unknown
Dog,Roxy,Roxy,8,Pit Bull
Dog,Ashton Sebastian,Ash,9,Pit Bull Mix
Dog,Maximum,Max,10,Puggle
Dog,Rosalind Pearl,Rosie,5,Border Collie Mix
Rabbit,Lena,Lena,8,Dwarf Rabbit
Hamster,Beauxbaton,Beau,2.5,Winter White
Dog,Chyna,Chyna,16,Little Terrier Poodle Mix
Dog,Sadie,Sadie,4,Cockapoo
Dog,Flynn,Flynn,11,Corgi
Cat,Felicity Louise,Flick,4,Domestic Shorthair
Fish,James Pond,James,5,Goldfish
Cat,Mars,Mars,8,Domestic Shorthair
Dog,Loki,Loki,3,Unknown
Cat,Millie,Mill,13,Domestic Shorthair
Dog,Trixie,Trix,3,"Toy Fox Terrier / Yorkie (""torkie"")"
Dog,Birdy,Birdy,4,Pomeranian Mix
Cat,Charlotte Wallace,Chuck,8,Cat
Cat,Thumper Dumper Bumble Butt,Thumper,16,Domestic Shorthair
Dog,Vince,Vincie,11,Yellow Lab
Dog,Cobert,Cob,2,Dalmatian
Fish,Little Prince,LP,2,Fish
Dog,Jack Daniel,Jackie,3,Chocolate Lab
Dog,Crinkle,Crinkle,7,Mongrel
Dog,Maisy Lynn Marie,Mimsy,6,Beagle Mix
Dog,Beemer,Beemo,7,Aussie Doodle
Guinea Pig,Rosencrantz WGP,Rosie,3,Unknown
Cat,Michelin,Michelin,14,"Cat, He's A Cat, We Found Him On My Dad's Tire... I Think You Can Guess What Brand Tires My Dad Had"
Dog,Mac,Mac,5,Boxer/mastiff Mix
Dog,Maximillion Taxi,Max,9,Lab Mix
Dog,Krypto,Dinky,6,Golden Retriever
Cat,Piper,Pippin,5,Cat
Dog,Bo Jangles,Bo,0.75,Husky/boxer
Cat,Slinkey,Slonk,5,Unknown
Dog,Brixton,Brixie,1,Golden Retriever
Dog,Jasper,Jasper,10,Miniature Double Doodle
Cat,Tabitha,Tabber,8,Unknown
Dog,Shadow Montgomery,Lovebug,2,Golden Retriever
Fish,Vitale Male the hot tamale who has a cooking show with Mario Batale,Vitale,1,Beta
Cat,Ramona,Meemo,4,Unknown
Dog,Scout,Scout,14,Beagle
Cat,Cocoa,"Cokes, Nuts, Cocoa",12,Tuxedo Shorthair
Cat,Napoleon,Deviled egg,2,Unknown
Dog,Libby,Libby,12,Golden Retriever
Dog,Jasper Tucker Oaf,Jasper,11,Black Lab
Cat,Clarissa Fluffnugget,Clary,2,Domestic Longhair
Dog,Tazmanian Devik,Taz,9,Mutt
Dog,Iggy Pup,Iggy,0.333333333,Miniature Double Doodle
Dog,Lilly,Lilly,12,Labrador Retriever
Dog,Furrdinand,Furrdie,10,Pomeranian
Dog,Monster Mayhem,Doodle,8,Dachshund
Dog,Watson,Watson,6,Labrador Retriever
Dog,Shine,Shine,12,Hound Mix
Dog,Freeney Schnurpel,Freenster,13,Shih Tzu
Dog,Bella Jean,Bella,Deceased,Chihuahua/yorkie Mix
Dog,Ratchet,Ratchie,5,Pug/dachshund
Dog,Clifford,Clifford,4,Clumber Spaniel
Dog,Goose,Gooby,1,Rat Terrier Mix
Cat,Cricket,"Crickby, Cringus, Don Crickles, etc.",78,Domestic Longhair
Dog,Magnus,Munchkin,7,Cairn Terrier
Cat,Baby Kitty,Baby Kitty,7,Kitty Cat
Dog,Shiloh’s Dixie Skye,Dixie,8,Mini Schnauzer
Dog,Bootsie,BootsToots,17,Trrrier Mixed
Cat,Bowie,Kitty boy,0.666666667,Tuxedo Cat
Dog,Mindy,Mindy,10,Black Lab
Dog,Spock,Spock,7,Mix
Dog,Merlin,Mer-dog,12,Chesapeake Bay Retriever
Dog,Sylvia Plath,Sylvia,3,German Shorthaired Pointer
Dog,Smokey Neyland,Smo,9,Schnoodle
Dog,Rufus Tee Hilderbrec,Rufus,11,Shih Tzu
Dog,Baillie,B or B-Dog,7,Border Collie
Dog,Sebastian,Bash,0.333333333,Maltipoo
Cat,Mika Joe,Mika,9,Siamese
Dog,Tess,Tess,13,Border Collie Cross
Dog,Zorro,Z,8,Long-haired Chihuahua
Dog,Deacon,Deac,11,Chesapeake Bay Retriever
Cat,Sir charles chickenhock chaplin the teleporting dot,Charlie,11,Unknown
Cat,Ally,Al,4,Cat
Rabbit,Gandalf,Gandalf,10,Lionhead
Cat,Lucas Adam Wilkins,Luke,10,Tabby
Dog,Robert Ferguson Mooney,Bobby,6,Golden Retriever
Dog,James buchanan barnes,Bucky,2,Unknown
Dog,Buddy Boy,Buddy,16,Cocker Spaniel
Cat,Cleo,Dump,2,Cat
Dog,Belle Watling,Belle,2,Maltese
Dog,Magladon wagladon,Maggie,1,Old English Sheepdog
Dog,Bella,Bella,14,Unknown
Horse,Half pint,Half pint,6,Unknown
Cat,Leah Suji Wilkins,The Squeak aka Squeakerfish,10,Tabby
Dog,Sophie,Sophie,11,Golden Retriever
Cat,Mitsy,Mitsy,4,Unknown
Dog,Stewart Little,Stewie,16,Pomeranian
Dog,Sadie,Sadie,11,Golden Retriever
Dog,Ashley Wilkes,Ash,11,Yorkie Poodle
Cow,Daisy the cow,Daisy,3,Unknown
Dog,Oliver Jospeh Andrew,Oliver,Deceased,Golden Mix
Dog,Rhett,Rhetters,12,English Springer Spaniel
Cat,Emma May Wilkins,Emma,4,Tortie
Cat,Hashtag Anamara Mainecoon,Hashtag,6,Maine Coon
Fish,Caroline Gravel,Gravel,2,Betta Fish
Dog,Lily,Lil,5,Golden Retriever
Cat,Arthur Fonzarelli,Fonzie,12,Part Maine Coon
Cat,Vriska Serket,Vriska,8,Domestic Shorthair
Cat,Fabio,Fabio,3,Unknown
Dog,Cookie,CookieMonster,8,Shih Tzu
Dog,Brutus,Brutus,10,Great White Pyrenees/yellow Lab
Dog,Ralph,Ralph,0.333333333,Golden Retriever
Dog,Kurt,Kurtis,2,Black Mouth Cur
Dog,Lyra Cristina,Lyra,0.75,Mixed Breed
Dog,Bailey bear,Bay girl,6,Beagle & Lab/german Shepherd Mix
Dog,Brooklyn,Brooklyn,2,Beagle
Cat,Isabelle,Izzy,11,Tortoise Shell
Dog,Champion Craig,Champ,14,Beagle Mix
Cat,Kelly,Kelly,Deceased,Unknown
Dog,Lennox,Lenny,4,Shih Tzu
Dog,Sullivan Otis,Sulley,10,Catahoula Leopard
Cat,oreo vanilla cookie,nene,11,Unknown
Cat,Chessie,Chess,12,Siamese
Dog,Hank,Hanky panky,1,Black Mouth Cur
Dog,Allie Nichols,Allie,5,Mutt
Dog,Lila,Lila,5,Newfoundland
Cat,Bubbles,Bubs,11,Chartreux
Dog,Liberty Louise,Libby,9,English Springer Spaniel
Cat,Sushi Charrito,Sush,2,Tuxedo Cat
Cat,Mouse,MousePotato,3,Unknown
Cat,Kate,Katie,19,Tortoise Shell
Dog,Jimmy,JimmyJamSunshineMan,5,Shih Tzu
Dog,Rocky,Rocko,9,Rottweiler
Dog,Sheldon Michael,Shel,7,Westin/min Pin
Dog,Jackson,Pupper,3,Australian Blue Cattle Dog
Cat,Midnight,Keek,19,American Shorthair
Dog,Maxwell Amos,Max,10,Catahoula Leopard
Cat,angelina,whitey,5,Unknown
Dog,Margaret Lewis,Maggie,11,Mutt
Dog,Ginger,Geeper Creeper,10,Golden Mix
Other,Johannes venereal Versmear,Venny,0.038461538,Unknown
Dog,Gator,Tate,8,Rottweiler/irish Setter
Dog,Badger,Badger,12,Dachshund
Dog,Beauregard,Beau,22,Golden Retriever
Dog,Buffy,Buffy and/or Buffalo,8,Beagle/jack Russell/cow ;)
Dog,duque,duque,1,Mixes
Dog,Mika,Mika,5,Husky
Dog,Scarlett,Little Girl,8,Border Collie
Dog,Macy,Macy,11,Golden Retriever Mix
Dog,Gromit Walker,Gromit,8,Golden Retriever
Cat,Ms. Kitty,Ms. Kitty,16,Unknown
Dog,Gracie Lou Freebush,Gracie,9,Black Lab/angel
Dog,River,River,0.269230769,Husky
Ferret,Leo,LeHOE,1,Unknown
Dog,Olaf,Olaf,4,Chihuahua
Dog,Buttons,Buttons (sometimes with a french accent),2,Beagle
Dog,Stevie James,Steve,9,Maltipoo
Dog,Mila,Crusty,14,Rottweiler Mix
Dog,Murphy,Murph,5,Golden Retriever
Cat,Tiger,tiggy,5,Unknown
Cat,Edna Lou,Breadna,5,Unknown
Cat,Princess Purdy,Purdy,11,Domestic Longhair
Cat,Squidward,Squid,1,Domestic Shorthair
Dog,Oscar the Amazing VelcroDog,Oscar,12,Terrier Mix
Dog,Poppy,Poppy,4,Shih Tzu
Cat,daisy dukerson,Daisy,5,Unknown
Cat,Tigger,Tigger,17,Tabby
Cat,Bubbles,Bubby,6,Unknown
Cat,Prince Charlie,Charlie,11,Domestic Longhair
Dog,Ellie Mae,Ellie,13,Cocker Spaniel
Dog,Snowy,Snow,11,Shih Tzu
Dog,Bruno,Bruno,4,Border Collie
Cat,Twitch,Twitch,11,Domestic Shorthair
Other,Mona,Mona,Deceased,Bluetick Beagle
Cat,harley davidson,har mar,9,Unknown
Cat,Ted Kennedy,Teddy,1,Domestic Shorthair
Dog,Yaz,Yazzy,11,Golden Retriever/border Collie
Dog,Princess Leia Organa,Princess,Deceased,Mutt
Dog,Oakley,"Oak, oakey-doke",3,Shih Tzu
Dog,Tinkerbell,Tinky,4,Chihuahua
Cat,Bella,Bella,4,Maine Coon Mix
Cat,Fup,Fup,10,N/a
Dog,Beckett,Beckett or Becky,9,Golden Retriever
Cat,Fudge,Fubdge,3,Ginger
Cat,Lady Luck,Lucky,11,Domestic Shorthair
Cat,Moose,Moose,4,Maine Coon Mix
Dog,Logan,Logan,10,Black Lab
Dog,Daisy Grace,Daisy,8,Mix
Cat,Leela,The Cat,10,Domestic Shorthair
Cat,Ellie,Ellie-phant,9,Calico
Cat,Her Royal Highness the Princess Blaze,Blaze,9,Domestic Shorthair
Cat,Phillipe Robert Jean Luc Tugboat “Toot! Toot!”,Phillipe,4,Manx Cat
Cat,Alexander DapperCat,Alex,9,Domestic Shorthair
Dog,Lila Betterhalf,Lila,13,Greyhound
Cat,Darling,Baby Girl,14,Manx Cat
Cat,Smokey,Mr Moke,12,British Shorthair
Cat,Jezebel,Jez,14,Himalayan
Dog,Tula Jean,Tula,1,Unknown
Cat,Edison D. Cat,Eddie,9,Domestic Shorthair
Cat,Redford,Rasa,12,Unknown
Dog,Odin,Odin,1,Mix
Dog,Annie Piker,Annie,8,Greyhound
Dog,Rusty,Rusty,4,Golden Retriever
Cat,Thomas,“Tom” “Old Man”,18,Domestic Shorthair
Cat,Fleckchen,Monster,7,European Shorthair
Dog,Stella Luna,Stella,4,Lab Mix
Cat,Fay Fuller,Fay,0.269230769,Unknown
Dog,Pancho Villa,Pacho,12,Pug
Dog,Waldo,Waldo,9,Cockapoo
Other,,,,Unknown
Cat,Luna,Kuschelmaus,8,European Shorthair
Dog,Yadier,Yadi,4,Golden Retriever
Other,DJ Roomba,DJ Roomba,,Unknown
Dog,Ruby Gem,Ruby,4,Terrier Mix
Dog,BuddyGus,Buddy or Boo,1.666666667,Golden Retriever
Dog,Homer,Homie,5,Springer Spaniel
Dog,Pippie,Pippie or Pippo,2,Pit Bull/ Bassett Hound Mix
Dog,Parker,,6,Beagle
Dog,Chipper Doodle,Chip,12,Chocolate Lab
Dog,Jack,Jack,7,Labrador Retriever
Dog,Xena,Xena,14,Miniature Pinscher
,Warrior Pinscher,,,Unknown
Dog,Gabby,Gabby,2,Golden Retriever
Dog,Rosebud,Rosie,10,Beagle
Dog,Cooper,Coopee,10,Yorkiepoo
Dog,Shakota,Shakota,12,Siberian Husky
Dog,Wilbur,Wilby,7,French/english Bulldog
Dog,Finn T. Dog,Finn,0.416666667,Weimaraner
Cat,Wilma,Wilma Jean the Queen,2,Orange Tabby (dsh)
Dog,Baylee,"Baylee Boo, Taps",2,Unknown
Dog,Sprocket,"Bark, sprock, spark",Deceased,"Mutt (rescue, Some Golden Retriever, Some Jack Russell, Some Whippet)"
Cat,Peppercorn Ale,Pepper,14,Unknown
Cat,Stanley,Stan the handsome man,1,Orange Tabby (dsh)
Bird,Ahanu,Ahanu,13,Caique
Dog,Sophie,Sophie,13,Maltese Mix
Dog,Sasha,Chunk,1,Lab/shepherd
Bird,Perkins the Parakeer,Perkins,3,Parakeet
Dog,Kookie (pronounced cookie) Pants,Noodle,15,Jack Russell Terrier
Dog,Miss Maisy Cakes,Maisy,1,Rescue Mutt
Dog,Han Solo,Solo,3,English Cocker Spaniel
Dog,Lillith Anne,Lily,6,Alaskan Husky
Dog,Michelangelo,Mikey,11,English Cocker Spaniel
Dog,Freddie Beagle,Fred or Freddie,11,Beagle
Dog,Pieper,Pooper,4,Unknown
Fish,Toilet Mimosa Gillan,Togimi,0.5,Betta Fish
Dog,Jacob,Jake,6,Alaskan Husky
Lizard,Drazil Marie,Drazil,4,Bearded Dragon Lizard
Dog,Titus Augustus,Tidy,9,American Foxhound
Dog,,Cirrus,2,Poodle
Dog,Shelby,Shelby,14,Labrador Retriever
Dog,,Nimbus,0.5,Poodle
Dog,Finn,Finn,1,Cavalier King Charles Spaniel
Cat,Kitten Kitten Kittycat,Kitty,14,American Longhair
Dog,Tessie Joan (of Arc),Tessie,7,American Foxhound
Dog,Ginger,Ginger,12,Golden Retriever
Dog,Sadie,Sadie,6,Golden Retriever
Dog,Flicka,Flicky,12,Labrador Retriever
Dog,Koda Kingslayer,Koda,2,Golden Retriever
Dog,Flicka,Flicky,12,Labrador Retriever
Dog,Maggie,Ms America,7,Golden Retriever
Dog,Henry (after Dorian Grey),Henry,1,Brittany
Dog,Megan,Puppy,10,Mutt
Cat,Dante’s InFURno,Dante,7,Maine Coon
Cat,Gatsby,Gatsby,0.833333333,"Stray, Black"
Cat,Tyrone,Tyrone,0.5,Unknown
Dog,Hopper T. Dog,Hops,6,Golden Retriever
Dog,Snickers,Snickers,10,Beagle Mix
Cat,Tommy toe,Tommy,3,Unknown
Cat,Wheels,Wheels,16,Unknown
Dog,Venkman,Venk,5,Golden Retriever
Cat,Maisie,Maisie,0.833333333,"Stray, Black"
Dog,Murphy,Murph,0.5,Cocker Spaniel
Dog,Maggie,Schmieg,12,Golden Retriever
Cat,Lin Meow Miranda,Lin,3,American Shorthair
Dog,Jasmine,Jasmine,13,Golden Retriever
Dog,Hurley Pearly Sky-Sky,Hurley,7,Shih Tzu
Dog,Queso,Queso,14,Golden Retriever
Dog,Breezy Anne,Breezy,5,German Shepherd
Dog,Riley,Riley,7,Golden Retriever
Fish,Fishy Fishy Fishy III,Fishy,0.75,Siamese Fighting Fish (beta)
Dog,Homer J,Homer,10,Basenji Mix
Dog,Tucker,Tucker,7,Golden Retriever
Cat,Kitty Vegas,Vegas,6,Domestic Longhair
Dog,Abby,Abby,3,Pit Bull/lab/beagle/chihuahua Mix/general Mutt
Dog,Cooper Triple Bogey,Coop,0.173076923,Golden Retriever
Dog,Shelby,Shelby,1,Blue Tick Coonhound/mountain Cur
Cat,Dr Gaius Baltar,Gusgus,10,Russian Blue
Dog,Oakley Dalton,Oaks,6,Unknown
Dog,Lucy Lou,Goose,9,Golden Retriever
Other,April,April,14,Unknown
Cat,Vasquez,Vasquez,7,Domestic Shorthair
Dog,Niles Crane,Niles,4,Border Collie
Dog,Little Lucky One,Lucky,13,Chihuahua
Dog,Benjamin Sebastian,Benjamin,7,Collie Basset Hound Mix.
Dog,Siris Maximus,Sirius,5,Alaskan Husky
Dog,Blaze,Blaze,5,Labrador Retriever
Dog,Brody,Brody,11,Yorkshire Terrier Mix
Cat,Ripley,Chubby Chubs,4,Domestic Shorthair
Dog,Director of Chaos,D.O.C.,4,Boxer
Cat,Josh Joshua Joshylin,Josh,6,Tuxedo Cat
Cat,Lisa,Lisa,Deceased,Unknown
Dog,Cody,Codes,11,Golden Retriever
Cat,Nepeta,Nepeta,2,Short Haired
Dog,Emma,Rotta,6,Mittelspitz
Cat,Leeloo Dallas Multipass,Leeloo,9,Laperm
Dog,Isabella Grace,Bella,7,Maltese
Dog,Cookie Boogie,Boogie,3,Unknown
Cat,Cataria,Tarie,2,Unknown
Dog,Salina,Salina,2,Hound Mix
Dog,Theodore James,Theo,5,Maltese
Dog,Ofelia,Ofie Lofie,15,Norwich Terrier
Dog,Hermie,Hermie,4-Mar,Chocolate Lab/pit Mix
Gecko,Turtle,Turtle,5,Unknown
