"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Jackson Baines Hardin,"Jackson, Jack",14,Shepherd Mix (rescue)
Cat,Tali'zorah vas Normandy,Tali,9,Laperm
Dog,Rudy,Rudy,12,Black Lab
Guinea Pig,Teddy,Teddy,3,Unknown
Dog,Chuchi,Baby Chu,9,Toy Poodle
Dog,Belle Silver,Bobo,3,Brittany
Fish,Fish,Swish,7,Unknown
Dog,Phoebe Buffay,Phoeb,4.5,Staffordshire Terrier
Dog,Precious Presley,Presley,1,Lab Mix
Cat,Boots,Fuckoff,10,Black Cat With White Feet
Dog,Sarah Jessica Parker,Parker,8,Beagle
Dog,Princess Leah,Leah,8,Miniature Schnauzer
Cat,Zeus,Zeus,2,Unknown
Dog,Mr Duke of Carol Stream,Booboo,10,Labrador Retriever
Dog,Bruno Mars,Bruno,4,Shih Tzu
Cat,Persephone,Persey,2,Unknown
Dog,Reggie,Reg,8,Border Collie
Cat,Momo,Momo,9,Domestic Shorthair
Dog,Twixie,Gooben,2,A Mess
Dog,Kody,Kode,10,Golden Retriever
Dog,Maverick Clinton,Maverick,10,Labrador Retriever
Cat,Abbey Road,Abbey,3,Domestic Longhair
Cat,Naga,Naga,6,Domestic Shorthair
Dog,Sven,Bean,5,German Shepherd
Dog,Lola,Lola,11,Poodle Mix
Dog,Sophie,Sophie,2,Rottweiler
Cat,Stinky Pete,Pete and/or Stinky,18,Just A Regular Cat
Cat,Gozer,Gozey,12,Black Cat
Dog,Lily Potter,Lil,2,German Shepherd
Dog,Dougie McFly,Dougie,11,Cairn Terrier
Dog,RileyRoo,Riley,2,Mutt
Dog,Dobby,Boober,4,Pembroke Welsh Corgi
Cat,Sir Edward Julius Robert Kittybutt III,Eddie,16,Tiger Cat
Fish,Chu-chu,Chu-chu,Deceased,Ranchu
Dog,Lando,Lando,5,Bernese Mountain Dog
Dog,Tucker Paul,Tuck Tuck,6,Pit Bull
Dog,Schnitzel Von Krumm,Ninnel,11,Miniature Dachshund
Dog,Wrigley,Wriglry pigley,13,Beagle
Dog,Wally,Wal,0.333333333,Golden Retriever
Dog,Snickers,Doodle,11,Beagle
Dog,Charlie,Charlie,9,Cockapoo
Dog,Pepper,Pep,0.791666667,Cocker Spaniel
Dog,Brownie,Brownie,13,Beagle
Cat,Maow,Kitkat,14,Unknown
Dog,Echo,Beck,3,Corgi Mix
Dog,Banky,Banky,10,Basset Hound
Dog,Koda,Koda,6,Chihuahua
Dog,Clifford,Cliff,6,Labrador Mix
Dog,Coco,Coco Bear,7,Morkie (maltese/yorkie)
Dog,Charlie,Charlie,8,Pit Bull
Dog,Mojo,Moj,5,Chiweenie
Horse,Wizarding Wonder,Wizwo,12,Shire X Tb
Dog,Hank,Hank,2,Boxer Mix
Horse,Thunderhawk,Thunder,21,Spanish Mustang
Dog,Sebastian,Fritz,15,Italian Greyhound And Jack Russell
Horse,Cielo,Piglet,4,Unknown
Cat,Bebop Vincent,Beebs,5,Domestic Shorthair
Horse,Thalia,Thalia,4,Unknown
Horse,Morganna la Fey,Morganna,15,Unknown
Cat,Maja,Maja,14,Grey
Dog,Hank,Hanky,2,Yellow Lab
Dog,Ella,Ells Bells,14.5,Cocker Spaniel
Dog,Frappuccino,Frappie,7,Labradoodle
Horse,Texas Pony Smoke,Monster,2,Unknown
Dog,Gracie,Grace,12,Shih Tzu
Horse,Khan,Khan,3,Spanish Mustang
Dog,Phoebe,Phoebe,2,Goldendoodle
Dog,Uma Strawn McGuire,Uma,4,Golden Mix
Dog,Buster,Boop squared,13,Terrierist
Horse,Reno,Reno,7,Unknown
Cat,Sketchy Missouri,Sketchy,12,Tortoise Shell
Dog,Eva Marie,Eva,3,Chihuahua
Horse,Boogieman,Boogie,5,Unknown
Dog,Mia Hamm,Mia,11,Golden Retriever
Cat,Charlie,Charile,18,Tabby
Dog,alia atreides,Allie,5,Mutt
Horse,Legacy,Legacy,15,Unknown
Horse,Mambo no. 5,Mambo,2,Spanish Mustang
Cat,Zoey,Zoe,4,Unknown
Dog,lexie,lex,0,Golden Retriever
Horse,Mato Ma’hu’i,Mato,2,Unknown
Dog,Bernard,Bernard,5,Boxer
Horse,Starflower’s Jezebel,Jezebel,4,Spanish Mustang
Cat,Jenna Nicole Rhea Lopez Horn,Jenna Jenna,8,Unknown
Dog,Myles - his roman name is Squirtacus Mylonius,Myles,10,Cockapoo
Horse,Diamond Lily,Lily,7,Unknown
Dog,Millie,Millie,9.5,Shepherd Mix
Horse,Gypsy Rose Lee,Gypsy,6,Unknown
Fish,Butters,Butters,1,Goldfish
Dog,Bodhi,Bo,6,Golden Retriever
Dog,Mooch,Mooch,9,Terrier Mix
Dog,Piper,Pipes,4,Woodle (wheaton Terrier/poodle)
Cat,Ramona,Ramona,12,Unknown
Dog,Charles,Charlie,10,Corgi
Horse,Morning Glory,Glory,,Unknown
Dog,Willow,Willow,3,Sheepadoodle
Horse,Morning Mist,misty,,Unknown
Dog,Glamis Schedule K1,Kona,5,Golden Retriever
Dog,Bandit Raye,Bandi,12,Farm Dog
Horse,Syndicated Copper,Copper,,Unknown
Cat,Cleo,Cleo,13,Dsh
Cat,Sebastian Ninja Nutjob,Sebastian,11,Domestic Shorthair
Dog,Anderson,Andy,12,Lab Mix Rescue
Dog,Mars Harambe,Pickle,3,Catahoula Mix (maybe? Don’t Really Know)
Other,Butler,Butler,1,Irobot
,You Glorious Vacuuming Bastard,,,Unknown
Dog,Claudio Atlas Wolfric,Claudio,8,Dachshund
Rabbit,Flufy,Flufy,10,Lionhead
Dog,Lawson H Dog,Hogan,16,Briard
Cat,Smudge the Second,Deuce,4,Himalayan
Dog,Tucker,"Tucker, dude, bud",1,Bully Mix
Cat,Echo,Echo,18,Unknown
Dog,Ames,Ames,5,Husky
Dog,Franc,Franc,0.333333333,Mastiff Cross
Cat,Winnie,Winnie,0.333333333,Unknown
Cat,Tiggy,,0.333333333,Unknown
Dog,Oliver Jackson,Oliver/Baby/Little Man,5.5,Morkie
Dog,Dolly Doodle Dogger,Dolly,6,Labradoodle
Cat,Ann Perkins,Ann,0.5,Mixed
Dog,Cassie,Cassie,5,Mix
Cat,Kisa Marie,Kisa,6,Unknown
Dog,Logan,Logan brogran,2,Rhodesian Ridgeback
Dog,Basil,Basil,7,Beagle & Lab/german Shepherd Mix
Dog,Marble,Marble,5,Plott/coonhound Mix
Dog,Hollie,Hollie,14,Westie
Dog,Cash Money,Cashie,2,Labrador Retriever
Dog,Seamus,Shamie Bameee,11,Rhodesian Ridgeback
Cat,William Robert,Billy,3,Unknown
Dog,Nash,Nash,2,Labrador Retriever
Cat,Spoons,Spoons,3,Calico
Cat,Arizona,Arizona,7,Domestic Shorthair/orange Tabby
Dog,Sian Ben Ryan,Sian or Sisi,14,Westie
Dog,Bear 2,Bear,7.5,Retriever Mix
Cat,Banjo,Banj,3,Dsh
Chinchilla,Fossedini Heraldo Macduff,Fosse,10,Unknown
Cat,Princess Melanie,Melanie,5,Domestic Longhair
Cat,Tiffany Marie,Tiffany,13,Dsh
Dog,Charles Barrath McIntyre,Barry,6,Basset Hound
Dog,Margeurite Larioux Gonzales,Maggie,6,Chihuahua-lab
Dog,Rusty,Rusty,2,Fox Red Lab
Dog,Starfire,Star,15,Maltese Poodle
Dog,Nova,Nova,3,"Mixed Breed (pomeranian, Papillon, Chihuahua, Cavalier)"
Dog,Dinty,The Dint,5,Terrier Mix
Cat,Hamilton,Hammy Bits,3,Unknown
Dog,Kadie Jo,Kadie Jo,6,Labrador Retriever
Cat,Incandenza,Ink,3,Unknown
Cat,Fitzgerald,Fitz,8,Domestic Shorthair
Cat,Zelda,Zelda,8,Domestic Shorthair
Dog,Daisy Duke,Daisy,4,Siberian Husky/brittany Spaniel Cross
Guinea Pig,Stewie,Stewie,2,Unknown
Dog,Sunny Sunday Sky,Sunny,15.5,Beagle
Guinea Pig,Francisco,Cisco,2,Unknown
Horse,Dream On Chip,Diva,15,Appaloosa
Dog,Bailey,Bailey,3,Border Collie Mix
Horse,Tundra,Tundra,12,"Mixed Breed (appaloosa, Paint, Tennessee Walker)"
Dog,Bosco Spaghettio,Bosco,9,Border Collie Mix
Cat,Agnes Marie,Aggie turd,2,Unknown
Dog,Tansei,Duffus,7,Shiba Inu
Cat,Edith,Eduf Monster,1,Unknown
Cat,Mini,Mimi,13,Tuxedo
Cat,Theodore,Ted,4,Persian
Dog,Molly,Molly,16,Golden Retriever
Dog,Duke Dukington,Duka,3,Chihuahua Mix
Cat,Oliver Newton,Ollie,4,Maine Coon
Dog,Prince Phillip the 2nd,"Phillip, Daddy-o",12,West Highland White Terrier
Cat,Starla,Starla,4,Domestic Shorthair
Dog,Petey,Petey poopoo head,11,West Highland White Terrier
Dog,President Nixon,Nixy,8,Mixed Breed (looks Very Hound-y)
Dog,Daisy Doodle Fat Kid with Butt Spots,Daisy,4,Hound X
Dog,Benry of Willowbrook,Benry,8,Golden Retriever
Dog,Qoda,Qoda,2.5,Golden Retriever
Dog,Ziggy Starsog,Zig,1.5,Hound X
Dog,Samuel Labrador,Sam,13,Labrador
Hamster,Princess Consuela Banana Hammock,Banana,Deceased,Unknown
Dog,Bentley Boy,Bentley,13,Shi-tzu/bichon
Dog,Taco Belle,Taco,8,Taco
Dog,Pluto,Pluto,Deceased,Golden Retriever
Hamster,Scooter Computer,Scooter,2,Unknown
Dog,Toby,Toby,6,Beagle Mix
Dog,Harlee,Harlee,3,Anatolian Shepherd
Dog,Nessa,Nessa,1,Golden Retriever
Dog,Biscuit Bandit,Bandit,3,Labrador
Cat,Sophie,Fuzzbutt,2,Unknown
Dog,The Real Slim Sadie,Sadie,1.5,Golden Retriever
Dog,Quincy Sugarplum,Quincy,3,Golden Retriever
Dog,Skipper Doo,Skip,4,Yorkie
Dog,Sam Ruffalo,Sam,6,Golden Retriever/lab Mix
Dog,Brutus Buckeye,Brutus,Deceased,Golden Retriever
Dog,crespo,crespo or baby 😂,12,Shihtzu And Mixed
Dog,Rossignol,Rozzie,Deceased,Siberian Husky
Hamster,Peaches,Peaches,3,Unknown
Dog,Pepper,Pepper,4,Mix
Dog,Amaya,Maya,6,Siberian Husky
Cat,Eloise,Ellie,10,Unknown
Cat,Olive,Ollie,4,Unknown
Cat,Kiki Buntain,Kiki,18,Mutt
Dog,Tiger,Tiger,12,Unknown
Dog,Bonnie,Bonnie,8,Westie
Dog,Abby,Abby,11,Cavalier King Charles Spaniel
Gecko,Gomez,Gomie,10,High Yellow Leopard Gecko
Dog,Cooper,Coop,7,Labrador
Dog,Chase,Chase,3,Husky Mix
Hamster,Steve Hammond,Steve,0.333333333,Clumber Spaniel
Dog,Riley Jenkins,Riley,1.5,Golden Retriever
Dog,Montgomery T Dog,"Monty, monkey, monkeyrunk,",2,Dalmatian Labrador Cross
Dog,Nana Roo,Nana,5,German Shepherd
Cat,Ella Grey,Ella,7,Unknown
Dog,Callie,Cal Gal (the golden),3,Golden Retriever
Dog,Rocco Norbert,Rocco,10,Golden Retriever / Chow
Dog,Jack,Jack,3,Terrier Something Or Other
Dog,Ted,Ted,0.5,Welsh Terrier
Snake,Desiree,Desiree,11,Rosy Boa
Dog,Jaida Lynn,Jaida,12,Black Lab / Terrier
Snake,Gaia,Gaia,10,Dumeril’s Boa
Dog,Daisy Lulu,Daisy,9,Toy Poodle
Cat,Phillip,Phillip,16,Yellow Buddy Tabby?
Cat,Sunni,Sunni,10,Birman
Cat,Nymeria,Nym,5,Dmh
Cat,Scarlett,Scar,89,N/a
Cat,Ink,Ink,0,Dmh
Cat,Drew,Drewbeans,7,Unknown
Dog,Titus,Titus,7,Lab
Cat,Midna,Midna,8,Dsh
Dog,Cookie Asparagus,Cookie,11,Chihuahua Jack Russell Terrier
Dog,Tessa Leigh,Tessa,11,Labradoodle (mom Is Yellow Lab Dad Is Poodle)
Dog,Ali,Ali,5,Greyhound
Dog,Daisy,Daisy/Dandelion,4,Lab Mix
Dog,Lucky,Luck luck,5,Lab
Cat,Rex,Rex,7,Maine Coon
Dog,Harper Jean,Harper Jean,1.5,German Shepherd Mix
Cat,Maverick,Maverick,2,Unknown
Hermit Crab,Rork,Rork,2,Unknown
Cat,Tina Fay,Tina,6,Unknown
Cat,Sophie,Sophie,4,Dsh
Dog,Max-well,Max,6,Golden Retriever
Dog,Mica,Mica,6,Lab Mix
Cat,Patches,Patches,10,Tuxedo Cat
Cat,Asch,Asch,4,Dsh
Rat,Yuri,Yuri,1,Rat
Rat,Ravio,Ravio,1,Rat
Dog,Sylvester Balboa,Sly,6,Golden Retriever
Dog,Mia Roo,Mia,11,Australian Shepherd
Hamster,Melody,Melody,1,Winter White Hamster
Dog,Casper Tiberus,Casp,4,Mixed
Dog,Chummy,Chumbles,5,Labradoodle
Dog,Luna Bean,Luna,7,Italian Greyhound X Chihuahua
Gerbil,Brown Gerbil,Brown Gerb,2,Gerbil
Cat,Gabby Comacho,Cho Cho,16,Domestic Shorthair
Gerbil,White Gerbil,White Gerb,2,Gerbil
Dog,Sofie Tooter Scooter,Sofie,7,Chihuahua
Dog,Mojo,Mojo,5,Labradoodle
Dog,Grace,Grace,1,Mix
Cat,Misha,Misha,8,Tabby
Dog,Frankie,Frankie,1,Mix
Guinea Pig,Dollar dollar bills y'all,Bill,2,Guinea Pig
Dog,Osa,Osa,9,Akita Husky Mix
Dog,Dixie,Dixie,1213,Pit Bull Mix
Cat,Barnabas,Bucky,11,Mix
Dog,Nina,Nina,7,West Highland White Terrier
Cat,Bitsy,Bitsy,15,Domestic Shorthair
Dog,Rachel,Rachel,8,Schnauzer
Dog,Piper,Piper,9,Labrador Retriever (chocolate)
Dog,Bella,Belly,10,Yorkie
Dog,Queen Khaleesi,Queenie,12,Mountain Dog Mix
Cat,Pumpkin,Pumpkin,6,Unknown
Dog,Bridget,"Bridgy, Pookie bridge",15,Mutt
Dog,Bodacious,Bodie,14,Black Labrador Retriever
Dog,Mama Rose,Rosie,7,Pit Bull
Dog,Augustus,Gus,8,Golden Retriever
Cat,Sunshine,Sunshine,7,Tiger Stripe (orange)
Dog,Tater,Tater,0.25,Labrador & Great Pieraneese
Cat,Millicent,Millie,6,Unknown
Hedgehog,Gustavus Ericius Hedgehog of the North,Gus,1.5,Unknown
Dog,Beverly Ann,Beverlana,13,Golden Retriever
Dog,Cora Smalls,Cora,3,Havanese
Dog,Jasper,Jasper,16,Dalmation/beagle
Cat,Dust,Dust,1,Unknown
Dog,Caleb,caliber,1.5,Blue Tick Coon Hound
Dog,Tonka,"Tonks, Tonkers, Sir Tail",8,Newfoundland
Bird,Spike,Spiker-doodle,13,Cockatiel
Cat,Ash,Ashy boy,9,Unknown
Cat,Blossom,Moose,6,British Long Hair
Cat,Violet,Violet,14,Shorthair
Cat,Thor,Thor,4,Unknown
Dog,Hank,Baby,2,Boxer
Dog,Brandy,Puddin,5,Pit Bull/lab Mix
Cat,Lily,Lillibutt,11,Shorthair
Dog,Sir Squeaksalot the Second,Twoie,9,Chinese Crested Powder Ouff
Cat,Buddy,Buddy Boi,4,Shorthair
Dog,Colby Jack,Jack,5,German Shepherd
Dog,Cooper,Coop,0.115384615,Labradoodle
Dog,Murphy,Murph,1,Goldendoodle
Dog,Phineas,,7,Irish Soft-coated Wheaten Terrier
Dog,Peach,Peach,2,Mixed
Dog,moose alexander,Moose,0.666666667,Maltipoo
Cat,eliza goose,eliza,2,Grey
Guinea Pig,Nibbles,Nibsey,5,Shorthair
Cat,Chichi,Chichi,9,Tabby
Cat,Isabella,Izzy,4,Unknown
Dog,Ruby,Ruebs,6,Rhodesian Ridgeback
Dog,Ruby,Ruby,4,Labrador Retriever
Dog,Min Ottende Bold,Otte,9,Black Labrador
Dog,Min fine Nimina Beana,Mina,6,Yellow Labrador
Dog,Lucy,Lu,3,Great Pyrenees
Cat,Belvedere,Biff,16,Shorthair Mackerel Tabby
Cat,heaven,Kitty,8,Tortoise Shell
Dog,lucy lu,luey,4,Basset Hound
Dog,Katniss Underfoot,Katniss,9,Pit Bull Ish
Dog,Sadie,Sayd,13,Border Collie
Dog,Coco  Chanel mademoiselle,Coco,5,Golden Retriever
Dog,Maggie,Mags,8,Border Collie
Dog,Gunner baker,Gunner,12,Lab
Rabbit,Lady Sybil,Lady,1.75,Holland Lop
Cat,Ashley Williams,Ash,8,Maine Coon
Dog,April in Paris,Paris,6,Golden Retriever
Rabbit,Colby,,3,Unknown
Cat,Mister,Mister,2,American Shorthair
Cat,Goku,Tutu,2,Unknown
Fish,Miles,Miles,5,Goldfish
Cat,Fuzzball,Fuzzybutt,10,American Shorthair
Dog,Felix,Felix,2,Unknown
Cat,Benjamin,Ben,14,Unknown
Dog,Woodruff,Woody,10,Saint Bernard/cocker Spaniel
Cat,Tibby,Tib or Monster,3,Unknown
Dog,Kitty take your gloves off,Reba,8,Golden Retriever
Cat,Honey,Honey,7,Tabby
Dog,Mulligan,Mull,12,Goldendoodle
Dog,Loki,Loki aka goof ball,0.666666667,Golden Retriever
Dog,Okemo,Okemo,8,Australian Cattle Dog
Dog,Beau,Beau,1.5,Golden Retriever Mix
Cat,Lucy,Lucy,6,Unknown
Dog,Zack attack,Zack,10,Golden Retriever
Dog,Kendall,Kendall,4,Hound Lab Mix
Dog,Bailey,Bailey,1,Lab/pointer
Dog,Ranger,Ranger,11,German Shepherd/husky
Dog,Dan,Dan,12,Basenji Mix
Dog,Sir Maximillion of Binghamton,Max,10,Golden Retriever
Dog,Freya,Freya,3,Pointer/sharpei
Dog,Jackson,Jax,14,Golden Mix
Dog,Kurama,Kdog,3,Unknown
Dog,Luchik,Luchik or Luci,5,White German Shepherd-husky
Dog,Pippi Hyde,Pippi,11,Cocker Spaniel
Cat,Scarlet,Purrincess Kitty,13,Domestic Shorthair
Dog,Pearly,Pearl,5.5,Husky Mix
Cat,Sebastian,Monkey,12,Domestic Shorthair
Dog,Walter,Walty,6,Spaniel Mix
Cat,Reeses Pieces,Reesie,2,Domestic Shorthair
Dog,Buddy of Bailey's Irish Cream,Buddy,11,Black Lab
Dog,Belle,Belle,15,Golden Retriever
Cat,Sushi Roll,Sushi,1.5,American Bobtail
Dog,Zoe Marie,Zoe,6,German Shepherd Mix
Dog,Wilson,Wilson,4,Lab Mix
Cat,Mochi,Mochi,1.5,American Bobtail
Dog,Reesie,Reesie,14,Yorkshire Terrier
Cat,Sasuke,Sasuke,6,Mixed
Cat,Sasuke,Sasuke,6,Mixed
Dog,Bocephus Ray,Bo,6,German Shepherd Mix
Dog,Gunner,Gunny,5,Yellow Lab
Dog,Stella,Stella,12,Dachshund Mix
Dog,Bailey's Irish Cream,Bailey,132016,Black Golden Retriever (gr/choc Lab)
Cat,Abigail,Abby,8,Siamese
Dog,Poppy,Pops,16,Jack Russell
Dog,Nina,Beans,12.5,Flat Coated Retriever
Cat,Boris,Boris,3,Spinx
Cat,Smoochey,Moo moo cow/ moochey,18,Domestic Shorthair
Cat,Toast Malone,Toast,5,Unknown
Cat,Hex,Hex,8,Unknown
Cat,Smudge of Grey,Smudge,7,Unknown
Dog,Charlotte,Char,4,Beagle/jack Russel
Dog,Ms. Cuddles,Cuddles,13.75,Chiffon (shih Tzu/brussels Griffon)
Dog,Wayne Rooney,Roo,13,Border Collie
Dog,Snack,Snack,2,Rottweiler/cocker Spaniel Mix
Cat,Skipper,Skips,16,Unknown
Cat,Nacho Bell Grande,"Bean, nacho,",1,Yes
Dog,Hazel,"Zelly, ZZ, Hayzelly",3,Golden Retriever
Dog,Luna Calamity Barnes,Luna,9,Mutt
Dog,Hiro Barnes,Hiro,5,Mutt
Dog,Ramsey,Ramsey,0.333333333,Labrador
Dog,Stella Diane,Stella,6,Havanese Type Mix
Dog,Trigger,Trig,4,Labrador Retriever
Cat,Noodle,Noodle,3,Calico/domestic Shorthair
Dog,Héloïse,Héloïse,911,Papillon Mix
Dog,Scout McGee,Scout,12,Spitz
Dog,Milo,Milo,2,Golden Retriever
Dog,Kolbie,Kolbie,10,Beagle
Dog,Rhyannon's Princess Nikita,Nikki,10.5,Siberian Husky
Cat,Scram,Scrammies,2,Domestic Medium Hair
Cat,Darwin,Cat,7,Unknown
Cat,Leo,Leo,16,Unknown
Cat,Kanga,Kanga,4,Calico/tabby
Rabbit,Winona,Winnie,2,Unknown
Cat,Bugaloo Bonzai,Bug,7,Unknown
Dog,Malcolm P. Dog,Malcolm,17,Mix/mutt/disaster
Dog,Maxwell T. Bone,Max (Alias: BrownDog),11,Chocolate Lab
Cat,Patches,Patch,8,Unknown
Dog,Indy,Indy,8,Poodle/beagle
Dog,Cody Fluffball,Cody,11,Golden Retriever
Dog,Fudge,Fudgie,6,Pug/beagle Mix
Dog,Mia,Mia,13,Golden Retriever
Cat,Louie,Louie,4,Unknown
Cat,Mitzi Junebug Kandinsky,Mitzi,8,Unknown
Dog,Megan Gabriela Ortega,Moo,11,Boxer
Cat,Bernie,Bernie (Bernard if naughty),2,Domestic Longhair
Dog,Bel,Bel,7,Cocker Spaniel
Dog,Artie,Artie Party,14,Golden Retriever
Dog,Snickers,Snickers,9,Beagle & Lab/german Shepherd Mix
Cat,Hazel,Hazel,4,Domestic Shorthair
Dog,Blue,Blue,7,Blue Heeler Mix
Dog,Wally,WaWa,2,Golden Retriever Mix
Dog,Copper,Copper,10,Chihuahua Mix
Cat,Harold,Harry,0.115384615,Cat
Lizard,Birdie,Baby liz,7,Unknown
Cat,Sir Jonathan Pooh Cat,Jonathan,10,Persian
Dog,Juliet,Jules,2,Pit Bull
Cat,Scout,Scout,9,Tabby
Dog,Dasher,Dash,8,Spanador
Dog,Grace,Gracie,5,Labrador Retriever
Dog,Ruby,Ruby,12,Mutt
Bird,Nugget,Nugget,2,Ringneck Dove
Dog,Levi,Lee,6,Australian Shepherd
Dog,Elle Loki Bean,Bellie,1,Boxer Mix
Dog,Dorthea Dix,Doge,5,Golden Retriever
Dog,Layla Bo Peep,Layla,0.333333333,Puggle
Dog,Rocky,Rocky,12,Beagle Mutt
Dog,Tillith,Tilly/TillBear,8,Hound Mix
Dog,Rollo,Rollo,3.5,Yellow Lab
Dog,Nisku,Nisku,2,G-shep Mix
Cat,Cat,Cat,8,Domestic Longhair
Cat,Peaches,Peaches,5,Persian
Dog,Sadie Jo,Sadie or Tato,5,Yellow Labrador Retriever
Dog,Lady,Lady,9,Bernese Mountain Dog
Dog,Sammy Q,Sam,10,Golden Retriever Mix
Cat,Cookie,Cookaroo,9,Siamese Mix
Cat,Pepper,Bebs,4,Tabby Mix
Cat,ipod,ipod,12,Unknown
Cat,hank the cowcat,Hank,12,Unknown
Dog,Oliver Phish,Oliver,2,Pit Bull Mix
Dog,Cleopatra,Cleo,6,Italian Mastiff
Dog,Birdie,Birdir,1,Labradoodle
Dog,Murphy,Murph,0.583333333,Golden Retriever
Dog,Ryder,Ryder,14,Yellow Lab Mix
Dog,Talani Snowmageddon,Milo,0.375,Golden Retriever
Dog,Winnie the Blue,Winnie,11,Pit Bull
Dog,Scarlett,Scarlett,0.25,Cavalier King Charles Spaniel
Dog,Gus,Gus,11,Golden Retriever
Dog,Dixie Marie,Dixie,8,St. Bernard
Dog,Heidi,Heidi,2,St. Bernard
Dog,Phin,Phin,2,St. Bernard
Dog,Jager,Jager,12,Labrador Retriever
Dog,Brown Bear,Bear,7,Unknown
Dog,Lucy,Lucy,4,Golden Retriever
Dog,Kahlua,Chicky-chix,0,Mutt
Cat,Epinephrine,Epi,9,Mix
Dog,Baylei,Stinky,1,Silver Lab
Dog,Baylei,Stinky,1,Silver Lab
Cat,That Cat,T.C.,9,Mix
Dog,Rocky,Rocky,5,Pit Bull/lab Mix
Bird,Buddy Ryan,Buddy,12,Unknown
Dog,Abigail,Abby,4,Pit Bull
Dog,Kira,Kira/Squishy,15,Beagle
Dog,Sammy,Sam sam,6,Golden Retriever/lab Mix
Dog,Piper Marie,Piper,4,Newfoundland Mix
Dog,Charlene,Charlie,12,Lab Mix
Dog,Thor Mighty God of Thunder,Thor,9,Dachshund Mix
Dog,Cody Anne,Cody,2,Golden Retriever
